Datum,Beliebtheit
2020-01-12,23
2020-01-19,31
2020-01-26,23
2020-02-02,35
2020-02-09,31
2020-02-16,43
2020-02-23,30
2020-03-01,29
2020-03-08,34
2020-03-15,47
2020-03-22,49
2020-03-29,92
2020-04-05,96
2020-04-12,100
2020-04-19,68
2020-04-26,91
2020-05-03,58
2020-05-10,69
2020-05-17,79
2020-05-24,56
2020-05-31,62
2020-06-07,80
2020-06-14,65
2020-06-21,62
2020-06-28,50
2020-07-05,53
2020-07-12,44
2020-07-19,60
2020-07-26,43
2020-08-02,52
2020-08-09,43
2020-08-16,59
2020-08-23,48
2020-08-30,38
2020-09-06,40
2020-09-13,37
2020-09-20,42
2020-09-27,42
2020-10-04,41
2020-10-11,21
2020-10-18,44
2020-10-25,25
2020-11-01,33
2020-11-08,43
2020-11-15,36
2020-11-22,49
2020-11-29,33
2020-12-06,40
2020-12-13,36
2020-12-20,29
2020-12-27,38
2021-01-03,33
